City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,narrabri,-30.32,149.78,66.2,32,0,6.93,AU,1594100644
295,san cristobal,7.77,-72.22,66.33,74,85,1.21,VE,1594100644
296,sept-iles,50.2,-66.38,46.4,93,20,2.24,CA,1594100644
297,marsh harbour,26.54,-77.06,83.44,76,74,8.08,BS,1594100644
298,bubaque,11.28,-15.83,80.38,80,98,12.73,GW,1594100644
299,gizo,-8.1,156.84,83.16,75,84,8.01,SB,1594100644
300,mareeba,-17.0,145.43,77.0,61,75,16.11,AU,1594100644
301,kaihua,23.37,104.28,80.67,67,100,11.61,CN,1594100644
302,koronowo,53.31,17.94,57.99,71,40,13.87,PL,1594100644
303,roblin,51.23,-101.36,55.98,91,0,4.14,CA,1594100644
304,mazabuka,-15.86,27.75,56.53,53,3,7.16,ZM,1594100645
305,mitsamiouli,-11.38,43.28,79.09,71,0,13.73,KM,1594100645
306,ilulissat,69.22,-51.1,51.8,50,100,17.22,GL,1594100645
307,hofn,64.25,-15.21,48.78,78,0,4.76,IS,1594100645
308,eten,-6.91,-79.86,63.27,84,100,14.29,PE,1594100645
309,bucerias,20.75,-105.33,82.4,94,90,3.36,MX,1594100645
310,hami,42.8,93.45,96.46,14,15,8.41,CN,1594100645
311,porto novo,6.5,2.6,78.8,88,40,10.29,BJ,1594100645
312,victoria,22.29,114.16,91.99,70,100,18.01,HK,1594100464
313,koshurnikovo,54.17,93.3,69.46,76,95,5.73,RU,1594100645
314,georgetown,5.41,100.34,86.0,79,20,8.05,MY,1594100645
315,avera,33.19,-82.53,73.4,95,90,9.17,US,1594100645
316,borujerd,33.9,48.75,89.6,14,14,6.93,IR,1594100645
317,emerald,-23.53,148.17,77.0,23,0,9.17,AU,1594100645
318,mombaca,-5.74,-39.63,70.09,93,99,3.58,BR,1594100645
319,karasuk,53.74,78.04,76.41,49,100,8.57,RU,1594100645
320,port-gentil,-0.72,8.78,75.2,88,40,9.17,GA,1594100645
321,sarahan,31.52,77.8,75.78,45,36,7.47,IN,1594100646
322,leninskoye,47.94,132.62,65.59,96,100,7.2,RU,1594100646
323,chokurdakh,70.63,147.92,39.9,94,100,10.76,RU,1594100646
324,yerbogachen,61.28,108.01,59.13,84,99,8.19,RU,1594100646
325,ikom,5.97,8.71,73.11,97,100,1.86,NG,1594100646
326,prince rupert,54.32,-130.32,55.4,93,90,2.24,CA,1594100646
327,kruisfontein,-34.0,24.73,56.95,74,59,23.71,ZA,1594100646
328,sao felix do xingu,-6.64,-51.99,68.86,78,8,1.21,BR,1594100646
329,alyangula,-13.85,136.42,82.4,48,0,9.17,AU,1594100646
330,rio brilhante,-21.8,-54.55,65.91,69,0,2.89,BR,1594100646
331,lagoa,39.05,-27.98,66.92,91,4,9.44,PT,1594100646
332,talara,-4.58,-81.27,65.05,83,78,16.62,PE,1594100646
333,jiazi,22.88,116.07,87.21,73,97,13.96,CN,1594100646
334,navrongo,10.9,-1.09,77.09,78,87,6.85,GH,1594100646
335,cabo san lucas,22.89,-109.91,84.99,53,20,10.65,MX,1594100646
336,thanh hoa,19.8,105.77,98.67,45,98,10.45,VN,1594100568
337,vicente guerrero,19.12,-98.17,58.84,82,100,1.68,MX,1594100646
338,ouro preto do oeste,-10.75,-62.22,72.59,73,62,0.96,BR,1594100647
339,ikeda,34.82,135.43,78.8,88,75,10.29,JP,1594100647
340,torbay,47.67,-52.73,48.99,93,90,3.36,CA,1594100647
341,auki,-8.77,160.7,82.24,79,28,1.74,SB,1594100647
342,leningradskiy,69.38,178.42,44.47,77,97,3.98,RU,1594100647
343,dom pedrito,-30.98,-54.67,43.72,85,100,9.42,BR,1594100647
344,upala,10.9,-85.01,74.48,89,74,2.8,CR,1594100647
345,mana,5.66,-53.78,76.91,89,25,7.25,GF,1594100647
346,cidreira,-30.18,-50.21,56.12,85,100,13.18,BR,1594100647
